TenLaptop,GiaLaptop,inch,DoPhanGiai,LoaiManHinh,KhacMH,HangCPU,DongCPU,DoiCPU,DungLuongRAM,LoaiRAM,BusRAM,OCung,CardDoHoa,HDH,TrongLuong,XuatXu,NoiMua
Laptop Asus TUF Gaming FX506LHB-HN188W i5 10300H,15.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Anti-glare LED-backlit",Intel, i5, 10300H,8 GB , DDR4, 2933 MHz,SSD 512 GB,NVIDIA GeForce GTX 1650 4GB; Intel UHD Graphics,Windows 11,2.3 kg,Trung Quốc,FPT
Laptop MSI Gaming GF63 Thin 11SC-664VN i5 11400H,15.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, FHD",Intel, i5, 11400H,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce GTX 1650 4GB,Windows 11 Home,1.86 kg,Trung Quốc,FPT
Laptop Gigabyte Gaming G5 GD-51VN123SO i5 11400H,17.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 300 nits, Anti-glare LED-backlit",Intel, i5, 11400H,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home,2.2 kg,Trung Quốc,FPT
Laptop Acer Nitro 5 Tiger Gaming AN515-58-52SP i5 12500H,22.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Acer ComfyView LED-backlit",Intel, i5, 12500H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel Iris Xe Graphics,Windows 11 Home,2.5 kg,Trung Quốc,FPT
Laptop Lenovo Gaming Legion 5 15IAH7H i5 12500H,28.990.000,15.6 inch, 2560 x 1440 Pixels, IPS," 165 Hz, 300 nits, IPS LCD LED Backlit, True Tone",Intel, i5, 12500H,16 GB, DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3060 6GB; Intel Iris Xe Graphics,Windows 11 Home,2.35 kg,Trung Quốc,FPT
Laptop MSI Gaming Alpha 15 B5EEK-203VN R5 5600H,17.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 358 nits, IPS FHD",AMD,Ryzen 5, 5600H,8 GB , DDR4, 3200 MHz,SSD 512 GB,AMD Radeon RX 6600M 8GB; AMD Radeon Graphics Vega 6,Windows 11 Home,2.35 kg,Trung Quốc,FPT
Laptop Acer Nitro Gaming AN515-57-54MV i5 11400H,19.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Acer ComfyView LED-backlit",Intel, i5, 11400H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11 Home,2.2 kg,Trung Quốc,FPT
Laptop MSI Gaming Thin GF63 12VE-454VN i5 12450H,22.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, IPS FHD",Intel, i5, 12450H,16 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 4050 6GB GDDR6; Intel Iris Xe Graphics,Windows 11 Home,1.86 kg,Trung Quốc,FPT
Laptop Asus TUF Gaming FX506HC-HN144W i5 11400H,19.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, Anti-glare LED-backlit",Intel, i5, 11400H,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; Intel UHD Graphics,Windows 11,2.3 kg,Trung Quốc,FPT
Laptop Lenovo Ideapad Gaming 3 15ARH7 R7 6800H,18.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 120 Hz, 250 nits, IPS",AMD,Ryzen 7, 6800H,8 GB, DDR5, 4800 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB; AMD Radeon Graphics,Windows 11 Home Single Language,2.32 kg,Trung Quốc,FPT
Laptop Acer Aspire A315-59-321N i3 1215U,9.990.000,15.6 inch, 1920 x 1080 Pixels, VA," 60 Hz, Acer ComfyView LED-backlit",Intel, i3, 1215U,8 GB, DDR4, 3200 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home Single Language,1.7 kg,Trung Quốc,FPT
Laptop MSI Modern 15 B7M-098VN R7 7730U,14.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, FHD",AMD,Ryzen 7, 7730U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.75 kg,Trung Quốc,FPT
Laptop HP 15s fq2711TU i3 1115G4,10.290.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, Anti-Glare",Intel, i3, 1115G4,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop Lenovo IdeaPad 1 15AMN7 R5 7520U,9.990.000,15.6 inch, 1920 x 1080 Pixels, TN," 60 Hz, 220 nits, FHD",AMD,Ryzen 5, 7520U,8 GB, LPDDR5, 5500 MHz,SSD 512 GB,AMD Radeon 610 2GB,Windows 11 Home Single Language,1.58 kg,Trung Quốc,FPT
Laptop MSI Modern 15 B7M-099VN R5 7530U,12.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, FHD",AMD,Ryzen 5, 7530U,8 GB, DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1.75 kg,Trung Quốc,FPT
Laptop Asus Vivobook E1404FA-NK186W R5 7520U,13.490.000,14.0 inch , 1920 x 1080 Pixels, IPS," 60 Hz Màn hình chính:, 250 nits, LED Backlit Chính:",AMD,Ryzen 5, 7520U,16 GB, LPDDR5, 5500 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home,1300 g,Trung Quốc,FPT
Laptop HP 15s fq2712TU i3 1115G4,10.290.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 250 nits, Anti-Glare",Intel, i3, 1115G4,8 GB , DDR4, 3200 MHz,SSD 256 GB,Intel UHD Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop Asus Vivobook M513UA-EJ704W R7 5700U,14.490.000,15.6 inch, FHD , TN," 60 Hz, Anti-Glare LED-Backlit Display",AMD,Ryzen 7, 5700U,8 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,1.8 kg,Trung Quốc,FPT
Laptop HP 14s-em0080AU R3 7320U,10.490.000,14.0 inch, FHD , SVA," 60 Hz, Anti - Glare",AMD,Ryzen 3, 7320U,8 GB, LPDDR5, 6400 MHz,SSD 256 GB,,Windows 11 Home Single Language,1.4 kg,Trung Quốc,FPT
Laptop MSI Modern 14 C11M-011VN i3 1115G4,10.990.000,14.0 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, IPS",Intel, i3, 1115G4,8 GB, DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11,1.4 kg,Trung Quốc,FPT
Laptop Asus Vivobook A1503ZA-L1139W i5 12500H,16.790.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 600 nits, OLED",Intel, i5, 12500H,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel UHD Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop Dell Vostro V3510 i5 1135G7,16.790.000,15.6 inch, 1920 x 1080 Pixels, WVA," 60 Hz, 220 nits, WVA Anti-glare LED Backlit Narrow Border",Intel, i5, 1135G7,8 GB , DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce MX350 2GB; Intel Iris Xe Graphics,Windows 11 Home Single Language,1.7 kg,Trung Quốc,FPT
Laptop HP 14s-em0078AU R5 7520U,12.790.000,14.0 inch, 1920 x 1080 Pixels, SVA," 60 Hz, 250 nits, FHD",AMD,Ryzen 5, 7520U,8 GB , LPDDR5, 5500 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11 Home Single Language,1.4 kg,Trung Quốc,FPT
Laptop Asus Vivobook M1503QA-L1026W R5 5600H,15.490.000,15.6 inch, 1920 x 1080 Pixels, IPS," 60 Hz, 600 nits, OLED",AMD,Ryzen 5, 5600H,8 GB , DDR4, 3200 MHz,SSD 512 GB,AMD Radeon Graphics,Windows 11,1.7 kg,Trung Quốc,FPT
Laptop MSI Modern 15 A11MU-1022VN i5 1155G7,13.490.000,15.6 inch , 1920 x 1080 Pixels, IPS," 60 Hz, 300 nits, LED Backlit Chính:",Intel, i5, 1155G7,8 GB , DDR4, 3200 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home Single Language,1.6 kg,Trung Quốc,FPT
Laptop Acer Aspire 3 A315-58-54M5 i5 1135G7,12.490.000,15.6 inch, 1920 x 1080 Pixels, TN," 60 Hz, Acer ComfyView LED-backlit",Intel, i5, 1135G7,8 GB , DDR4, 2400 MHz,SSD 512 GB,Intel Iris Xe Graphics,Windows 11 Home,1.7 kg,Trung Quốc,FPT
Laptop MSI Gaming GF63 Thin 11UC-1228VN i7-11800H,19.990.000,15.6 inch, 1920 x 1080 Pixels, IPS," 144 Hz, 250 nits, IPS",Intel, i7, 11800H,8 GB, DDR4, 3200 MHz,SSD 512 GB,NVIDIA GeForce RTX 3050 4GB,Windows 11 Home Single Language,1.86 kg,Trung Quốc,FPT
Laptop Asus TUF Gaming FX506HF-HN017W i5 11400H,19.990.000,15.6 inch, FHD , IPS," 144 Hz, Anti - Glare",Intel, i5, 11400H,16 GB, DDR4, 3200 MHz,SSD 512 GB,,Windows 11 Home,2.3 kg,Trung Quốc,FPT
